authors,ebook_price,genres,isbn,pages,publication_date,publisher,rank,reviews,title
Michelle Obama,12.99,Genres - Nonfiction - Memoir - Biography - Audiobook - Autobiography - Politics - Biography Memoir - ,,426,"November 13, 2018 ",Crown,996059,66100,Becoming
Holly Black,11.99,Genres - Fantasy - Young Adult - Romance - Fae - Fiction - Young Adult Fantasy - Magic - ,,370,"January 2, 2018 ","Little, Brown Books for Young Readers",1059394,97373,The Cruel Prince
Tomi Adeyemi,11.99,Genres - Fantasy - Young Adult - Fiction - Young Adult Fantasy - Magic - Audiobook - Romance - ,9781250170972,544,"March 6, 2018 ",Henry Holt Company,217169,30345,Children of Blood and Bone
A.J. Finn,14.99,Genres - Thriller - Mystery - Fiction - Mystery Thriller - Suspense - Crime - Adult - ,,455,"January 2, 2018 ",William Morrow,746419,58473,The Woman in the Window
Delia Owens,12.99,Genres - Fiction - Historical Fiction - Mystery - Romance - Audiobook - Contemporary - Adult - ,9780735219113,384,"August 14, 2018 ",G.P. Putnam’s Sons,2762508,196377,Where the Crawdads Sing
Sarah J. Maas,8.21,Genres - Fantasy - Romance - Young Adult - Fiction - New Adult - Fae - Retellings - ,9781619634442,432,"May 5, 2015 ",Bloomsbury USA Childrens,1926334,153262,A Court of Thorns and Roses
Colleen Hoover,12.99,Genres - Romance - New Adult - Contemporary - Fiction - Contemporary Romance - Young Adult - Audiobook - ,9781501176838,320,"March 28, 2017 ",Atria Books,456995,36849,Confess
Elle Kennedy,0.00,Genres - Romance - New Adult - Sports Romance - Sports - Contemporary - College - Contemporary Romance - ,,342,"February 24, 2015 ",Elle Kennedy Inc.,632430,48653,The Deal
Sarah J. Maas,8.21,Genres - Fantasy - Young Adult - Romance - New Adult - Fiction - Magic - Fae - ,9781681195773,660,"September 5, 2017 ",Bloomsbury USA Childrens,395202,33442,Tower of Dawn
Paula Hawkins,14.99,Genres - Fiction - Mystery - Thriller - Mystery Thriller - Crime - Suspense - Contemporary - ,9781594633669,336,"January 13, 2015 ",Riverhead Books,2830722,124644,The Girl on the Train
Colleen Hoover,10.99,Genres - Romance - Young Adult - Contemporary - Mystery - New Adult - Fiction - Paranormal - ,,158,"January 7, 2015 ",Hoover Ink,115566,12503,Never Never
Mia Sheridan,9.99,Genres - Romance - Contemporary - New Adult - Contemporary Romance - Fiction - Adult - Disability - ,9781538727379,345,"November 1, 2016 ",Forever,364858,41972,Archer's Voice
Victoria Aveyard,12.99,Genres - Fantasy - Young Adult - Dystopia - Romance - Fiction - Young Adult Fantasy - Magic - ,,388,"February 10, 2015 ",HarperTeen,954334,65590,Red Queen
Sarah J. Maas,8.21,Genres - Fantasy - Young Adult - Romance - Fae - Magic - Fiction - Young Adult Fantasy - ,9781619636040,648,"September 1, 2015 ",Bloomsbury USA Childrens,605685,43667,Queen of Shadows
Jake Furie Lapin,2.99,Genres - BDSM - Erotica,9781499145342,172,"September 7, 2014 ",Blackman Morgan Sachs Group,593,159,The Spice of Life
Kiera Cass,0.00,Genres - Romance - Young Adult - Dystopia - Fantasy - Fiction - Audiobook - Science Fiction - ,9780062059994,323,"May 6, 2014 ",HarperTeen,655759,42856,The One
Colleen Hoover,11.99,Genres - Romance - Contemporary - New Adult - Fiction - Contemporary Romance - Audiobook - Adult - ,,333,"August 5, 2014 ",Atria Books,1605599,117849,Ugly Love
K. Bromberg,0.00,Genres - Romance - Sports - Contemporary Romance - Contemporary - Sports Romance - Erotica - New Adult - ,,350,"March 3, 2014 ",JKB Publishing,45680,3722,Crashed
Belle Aurora,0.00,Genres - Dark - Romance - BDSM - Contemporary - Erotica - Abuse - Contemporary Romance - ,,359,"January 13, 2014 ",Kicy,40818,5978,Raw
Taylor Jenkins Reid,12.99,Genres - Fiction - Historical Fiction - Contemporary - Romance - Audiobook - Adult - Historical - ,,369,"June 1, 2021 ",Ballantine Books,937072,88933,Malibu Rising
Kristin Hannah,1.99,Genres - Historical Fiction - Fiction - Audiobook - Historical - Adult - Adult Fiction - Book Club - ,,464,"February 2, 2021 ",St. Martin's Press,606202,57410,The Four Winds
Kate Quinn,15.99,Genres - Historical Fiction - Fiction - Historical - Audiobook - World War II - Mystery - War - ,9780062943477,624,"March 9, 2021 ",William Morrow,225318,20457,The Rose Code
Ali Hazelwood,12.99,Genres - Contemporary - Fiction - Contemporary Romance - Adult - Audiobook - Chick Lit - New Adult - ,9780593336823,383,"September 14, 2021 ",Berkley Books,1247215,135782,The Love Hypothesis
Kazuo Ishiguro,13.99,Genres - Fiction - Science Fiction - Audiobook - Literary Fiction - Dystopia - Fantasy - Contemporary - ,9780593318171,303,"March 2, 2021 ",Alfred A. Knopf,310484,35300,Klara and the Sun
Leigh Bardugo,9.99,Genres - Fantasy - Young Adult - Fiction - Romance - Young Adult Fantasy - LGBT - High Fantasy - ,9781510109186,592,"March 30, 2021 ",Orion Children's Books,137790,18704,Rule of Wolves
Holly Black,2.99,Genres - Fantasy - Young Adult - Romance - Fae - Young Adult Fantasy - Fiction - Magic - ,9780316592703,356,"January 3, 2023 ","Little, Brown Books for Young Readers",72934,13815,The Stolen Heir
Brandon Sanderson,9.99,Genres - Fantasy - Fiction - Romance - Adventure - High Fantasy - Young Adult - Adult - ,,483,"April 4, 2023 ",Dragonsteel Entertainment,76401,12115,Tress of the Emerald Sea
